,star,comment
32,1,幾年沒來，不曉得竟然現在要自己裝袋了？！連口味都要自己寫？！生平第一次遇到這麼囂張的!!口味我給三分，態度大概負兩百分吧。
33,1,完全就是嚴重虐待動物的現場，真的看了超不開心，小孩也覺得很莫名奇妙，超級不推！
34,1,去準備令旗綁符令櫃檯的戴眼鏡小姐態度有夠差，不爽真的不要做!
35,1,超級爛
36,1,爛死了！第一次來明明離打烊時間還有一小時就不接客人，人多就算了！現場根本沒什麼客人也不給進去！不會再來了
37,1,台灣相關單位就是這樣，再好的古蹟都會拿來翻新並改為營利用途...古蹟二字在這些建築上真是既諷刺又可悲!
38,1,日式建築廢棄零成本改造沒文創地方，文創沒人消費哪來的創意，陳舊腐爛地方有夠浪費，裝有做事，讓人完全不想花錢入館免費，當作有做事
39,1,很不好的體驗。手酸的要命，根本沒辦法好好看。解說的也很籠統。同船的都是老人小孩，要怎麼撥水，還來不及好好欣賞已經到了。推薦別處藍眼淚生態館。解說比這裡好太多了。環境也舒服，跟藍眼淚互動時間也很多。拍照錄影都可以。
40,1,很無聊的花園，門票價格跟實際體驗不符，而且門口人像畫感覺畫出來的人都一模一樣
41,1,環境髒亂，老人群聚涼亭賭象棋，抽煙亂吐檳榔，打赤膊男子精神狀況不穩定，亂吼亂叫，有夠噁心
42,1,非常爛
43,1,遊客中心的服務人員，態度不是很好，購買商品需要操作設備，沒有先告知，卻突然大聲制止遊客不能親自操作設備，請問這是哪招？整個園區環境都很好，應該就敗在3/5遊客中心的那兩個服務人員，態度可以再差一點喔！
44,1,公園服務的對象應該是遊客，重新改建，怎麼公廁與停車場都不見了，只有一堆自肥的公務車位，只有展示用廁具各一，真可笑！
45,1,口味還好，男店員態度很差，人多找錢居然用丟的，讓客人在托盤撿錢，連一句不好意思也沒有...爛死了!
46,1,就是一棟有礙市容的荒屋，政府不管，屋主不顧，一點不值得一提，非常悲哀。
47,1,N年沒去了，這次年假帶朋友走訪，大失所望，真的大不如前，剝落的色彩，吵雜的環境，比社區的公園還差。
48,1,整修完廁所只剩男女各一間???這麼大的地這麼大的公園廁所只有男女各一間???
49,1,時間越接近4月！！基本草莓品質不行還一直賣，價格也不便宜!!枇杷訂最低檔，送來的有一半壞掉，以後很難再去買，花那麼多錢沒意義
50,1,跨年這一天入住帳篷區經驗不佳，洗澡沒熱水就算了，隔天居然早上6:00多經過某處聽到工作人員的對話說某遊客的壞話。還有說不能讓遊客知道“其中一個熱水供應器壞了”。一把火忍住當場不想說，回來後越想越不開心。工作人員貼張公告很難嗎？工作人員，你不知道隔牆有耳嗎？
51,1,騙很大!老外跳水跳了半小時，海豚表演十分鐘，再來介紹身體又講了20分。所以騙很大!
52,1,當地已經關閉了，聽到水聲和蟲叫聲；除此之外甚麼也沒有，開車也會車不易，去了等於沒有去，不建議浪費時間來這!
53,1,超級差
54,1,服務人員態度真的不好。明明就是你們沒有交接好訂房資訊，訂八人房變兩間四人房。我們也說請櫃檯人員先查看看八人房的是否有人入住，也不肯查。說八人房已經賣完了，還說本來要給兩個四人房，說是我們硬要八人房，才開八人房給我們。阿不是已經賣完了，怎麼還會有空房？？？
55,1,今早致電晁陽，接聽電話的人非常不專業，自己沒聽清楚我回應的內容，還用極為不禮貌的態度回應我：要講你趕快講好不好。整個通話一分鐘而已，我自覺我並沒有哪裡無理或說話怠慢，但一開始就感受到對方不悅或不耐煩。如果不願接聽電話，乾脆不要接，一通電話打翻先前對晁陽親切和藹的印象。
56,1,蚊子多到爆，園區顯得荒涼沒整理，商店區還門都鎖住找不到人，等了15分鐘才有人開門，漂漂河水也是很多樹葉漂上面，木棧階梯損壞
57,1,明明就還在整修，卻還是以漲價後的門票，販售給遊客，實在是很不道德，台南市政府在做什麼呢？都不管管的嗎？還是就是擺爛，愛來不來隨便是嗎？
58,1,超級爛，玩沒有兩圈就一直熄火。還要自己吸收，推薦大家不要來有夠爛!
59,1,日本人捏造的故事被戳破，和公園荒廢一樣，就讓它成為一個歷史笑話吧！這政府也是有夠廢的，浪費這個地方了！
60,1,完全不推！服務人員只顧著說自己的沒在管後面小朋友家庭這些有沒有聽到還是參與到！買了門票入場站在路中間聽、位置不夠還放那麼多人進場、站在那邊還要被走來走去的人員趕來趕去！
61,1,初體驗，園區服務人員態度需要再改進改進，像碰碰車不能玩了就應該先告知，怎麼小朋友靠近了才過來臉臭口氣兇說不能玩
62,1,今天去覺得整個活動都非常無聊的，1人250元CP值超低，不會再去以外也不推薦
63,1,人太多擁擠，動線規劃很差，服務態度很差，環境也都沒整理，下雨了還跟我說一下就沒了也沒大雨傘可以遮
64,1,東西賣很貴，幾乎都接待遊覽車帶進來的客人，十足坑殺遊客的地方，對散客就非常不友善
65,1,"高雄百點實體章要""強迫購票""才能入館蓋章，感受很差，直接放棄！其他收費場館都是放在售票口或是服務處的。"
66,1,只有草莓沒有了，走心了...老闆卻極力推薦挖地瓜和採番茄，喂~我們事前打電話問過說隨時可以來採草莓的說，真傻眼!
67,1,早上六七點放鞭炮還不夠，到了半夜還在吵!我要是關公真的會一刀劈下去，有夠生氣!
68,1,非常不值得
69,1,商品館的員工態度非常差!格子餐廳櫃檯的員工態度也很差!這裡環境給五顆星，但是兩個爛員工給負四顆星，剩下這顆星給你們，希望你們加強員工教育訓練，不要出來丟臉!
70,1,不用浪費時間上來，公園非常小一個，而且後面都是要付費的泡湯溫泉和露營區，上公園的那條路很窄很危險…
71,1,餐點料理包，服務也沒有很好，請他開個風扇，也草草指個方向，根本不知道開關在哪裡，一趟路途很遙遠，帶令人失望了。
72,1,你媽的B!竹子倒塌橫跨步道，草叢都長到步道上和蚊子和小黑蚊超級多！噴防蚊液都沒有用！步道上有好幾處都很泥濘！我們下次絕對不來！
73,1,只有景好，至於其他的整個爛到不能再爛，進去坐到位子問個wifi，新來的說我不知道我第一天來！然後就不管了，後來自己去櫃檯問 應該是老闆，一副不屑說沒有密碼自己連，問是哪個名稱，卻回我說了不用密碼自己連，態度跟感覺差到爆，之後離開追出來說進去就要收100元！史上最強拼翻桌率的方法！
74,1,廁所內沒水，馬桶黃金滿出，似乎依據很久沒人整理，有夠噁心的。公園內樹葉垃圾未整理，可能因為環境不好，早上也未看到當地人上來運動。
75,1,一顆星是針對每年點光明燈報名。排隊動線非常差，廟方不願意租借體育館，增加人手，讓要報名的人得日曬雨淋在車多的新莊老街排好幾小時的隊，每年光明燈及香油錢收入這麼高，但是這麼多年來卻不思改善，一點成長都沒有!
76,1,"沒有規劃經費維護,那建造這些遊樂設施做什麼？很是浪費，非常不推薦，連一星都不想給…"
77,1,裡面的餐點超級無敵難吃。難吃就算了，還非常貴。基本上都是400-500套餐，折抵100元。懷疑這裡的廚師都沒吃過自己煮的了。紅茶加水加超嚴重。油雞像菜市場買回來的。梅干控肉硬的不得了，而且又酸味道又奇怪。真的不建議來這裡用餐。
78,1,守衛人員態度很不好，且農埸設施不怎麼樣還敢要門票，停車位也收費，唉...
79,1,超級爛
80,1,現在改建後很爛，改建後大部分動物沒了，變成不像樣的動物圓，真是浪費改建費用，也讓大家失去一個好的動物園
81,1,餐飲CP值很低，三大一小，餐飲加門票費用共2270元，原以為是個人觀感，看完其他人評論，也是有其他人認為費用過高，重點是餐飲貴就算了，服務人員態度也非常需要加強!
82,1,環境非常糟糕，沒有動物展演許可證卻利用兔子賺錢，而且兔子是很膽小的動物，根本不適合面對大量遊客。
83,1,又浪費了一個寬廣的好地方，沒什麼設施，估計環境大概也是不會維護，很快就廢了!就只是留給阿伯抽煙的地方吧。
84,1,網路上說寵物可以入園，然後一到看到寵物請勿進入的告牌，感覺有夠差。
85,1,兒童館的服務人員態度非常不友善，對於兒童管制嚴格，卻對成人標準不一，成人可以穿鞋進去積木區，對於玩耍的兒童以廣播方式制止玩耍，試問這是兒童館館員的做事方法是嗎？
86,1,天幕換掉不維修是要烤死房客嗎？業者還一副壞掉就壞掉了阿不然要怎樣...整顆球裡面的塑膠味濃烈到很誇張!花錢買罪受…
87,1,先幫各位踩雷了，鹽滷愛玉一杯$50元竟然只有半杯量，根本坑殺觀光客，沙士就是沙士，還是去超商買吧，別來這浪費錢了
88,1,有些老人在靠近元化路矮牆邊小便.太陽一晒很臭!遊民很多，有一個個子瘦山的男老遊民，常常喝洒大聲?三字經!警察都不會管的嗎?
89,1,莫名其妙的買了一包茶包，幾乎可以說是沒有什麼東西可以拍，除了停車方便以外想不到優點，只有什麼撿雞蛋還是盪鞦韆的小朋友遊戲，超無聊，純粹只有大人的話真心不推薦，門票還需要200，而且商品頗貴，所以只好買一包茶包折抵。
90,1,當初也是看雲林市政府觀光宣傳單來的，結果來都不太知道要看什麼...東西也賣超貴，一條毛巾被要3000多我是真的買不下去…
91,1,一堆乩童來這邊進香操五寶，不然就是靈修人士來這邊靜坐、比手畫腳、打嗝亂叫等，都在褻瀆神明侮辱神明…會附身的明明就都是靈鬼，廟方管委會也都沒在管的。我看這間廟都要變成魔廟了!!!
92,1,醫生太爛的人！問什麼東西也不會好好說話！ 
93,1,學生參加隔宿露營真的爛，執星官無緣由暴怒，我給憤怒程度六顆，這是多出來的一顆。學校隔宿露營絕對不要參加，除非你喜歡被吼。
94,1,糟糕的設計，高低差那麼大超過一公尺，小孩不會跌下來嗎？還是溜滑梯是給大人玩的？
95,1,非常雷不推，全是小黑蚊。門口可以租腳踏車電動車，但園區不大且園區裡面不開放騎車。走到裡面都是私人土地，根本沒有太多的觀賞地方，連餵魚都比公園還差，週六來冰淇淋部分和小吃店也都沒開…
96,1,房子蓋得越來越靠近山邊擋住了本來良好的視野，本來翠綠高聳的樹林被砍掉而變成了自私農場，春天的雨後空氣中傳來的不是泥土香，而是肥料臭，蝴蝶、蜜蜂、鍬形蟲、螢火蟲也被蚊子給取代了，自私的人們以其自私的行為消滅了一塊本來自然而美麗的土地，一塊土地反映了一個地方人的知識與道德水平才如此而已，可悲!
97,1,沒在照顧的廢棄景點，非常不建議前往，空氣中瀰漫著肥料的臭味，停留時間30分鐘
98,1,在公共空間寵物上牽繩，清糞便我覺得都是很合理的事情。但不能尿尿也不能在此玩耍也太奇怪了吧!
99,1,無機車停車位，需與汽車共停，但碰到停不到汽車停車位的駕駛，就會將停在機車格內的機車全數移動到別處，難道只能停他自己的汽車?（非常自私的駕駛）這是一個對機車族非常不友善的公共設施!
100,1,這水要開不開的還要碰運氣，中和街全聯對面就剛好有一個，交通方便也比較大。本來這地點就不適合旅遊觀光，里長議員硬要搞不上不下的觀光景點，旁邊也沒商店，真的是只有亂花預算又找居民麻煩的設施。
101,1,設施空洞，雜亂無章。社區營造之後，就擺放不再經營，有夠浪費社會資源真的是太可惜了。
102,1,爛透了
103,1,非常難吃，浪費時間，花費金額就不計較了。餐點的雞米花跟炸豬排腥味非常重。軟殼蟹燉飯是台式燉飯，但特殊料理方式一般都尊重。重點是今天吃的原料非常劣質，讓人無法接受。評一顆星是因為花椰菜有蟲，老闆還招待小雞翅哦。
104,1,如果你是希望森林有溪頭或是樂園有六福村的等級，我只能說你會非常失望，這裡比較類似埔心農場給人辦活動用的地方，但是道路草皮都沒有整理，真的觀感不太好。而且接駁車晃到我差點吐出來，絕對不會想去第二次的地方
105,1,就算觀音生日，到晚上10點後還在放這麼難聽的音樂和唱這麼難聽的歌聲，有在為附近的住戶著想嗎？
106,1,門票$60元。極度無聊，園區超級小，同一個地方走了三次，還有觀光客不能進入的地方，完全不推。
107,1,沒有人維護，荷花都熱哭啦!跟其他人po的照片差很多，可以不用來這景點!
108,1,第一次帶狗狗去寵物運動公園，結果非常失望，滿地的狗大便，這種環境我那敢放任我的愛犬在那奔跑，所有的寵物運動公園都是這樣嗎?還是只有這裡
109,1,重建完，可以看出工程品質很差，公園設計很差，還是以前的公園設計好，真的覺得侯友宜適合去管警察就好。
110,1,神父的狗把我們的小貓咬死了，就是圖中那隻可愛小貓！去詢問時還逃避問題，真的是很可憐。我說神父
111,1,看著評論慕名而來，實際上跟廢墟沒兩樣。比較適合小孩花錢來體驗，大人就算了，真的不要浪費時間金錢。什麼馬啊羊啊牛啊都沒有，只有一隻豬被關在比體型大一點點的鐵籠。很多兔子被關在一個小空間，兩隻陸龜被圍在一個小空間，天竺鼠的窩裡沒有天竺鼠？真是謝謝給了一個難忘的爛經驗。
112,1,售票有告知沒有花，但不知道裡面像廢墟一樣，門票一個人還收100元真是有被詐騙的感覺
113,1,要購買了。問老闆說：是直接跟你說嗎？老闆說：要不然呢？態度真的很酷齁…
114,1,為什麼寵物推車不能進去，什麼時代了！請問小孩推車可以進去嗎？為什麼寵物推車就不行？因為裡面一個是狗狗，一個是小孩嗎？小孩跟寵物的差別在哪？會造成什麼樣有害的影響嗎？就是為了歧視寵物的存在，真的是爛到爆！
115,1,附近停車不是星月天空的停車場，騙你上面停車沒位子（上面停車免費），指揮你停他的停車場要100元。
116,1,糟糕透頂！一大堆奇怪的蟲，還有人在進行邪教儀式。沒事不要來
117,1,當期展覽有夠隨便，只擺放了數個作品，作品名稱、介紹甚麼都沒有。只能說新竹市在藝術展覽這一塊真的非常不用心，只會蓋公園。新竹縣甚至苗栗北部都作得比較好。
118,1,貴場域有一隻狗亂咬人，負責人還一副吊兒郎當，不負責任的態度真糟糕。
119,1,四極點中規劃最多，體驗最差，無屋頂的停車場離燈塔一公里，來回40分鐘完全沒有任何遮蔽物，涼亭屋頂還是僂空的，不能擋雨、無法遮陽。明明是海邊卻感受到空氣凝滯、毫無風吹。強烈建議帶純黑陽傘，冰運動飲料、墨鏡、行動電風扇、另一套衣物供汗濕更換、防曬乳、毛巾
120,1,來大稻碼程貨櫃市集最髒的一次，公共用餐區非常多垃圾沒收。廁所也髒，味道重。餐點只推小卷米粉，老闆的圖片餐點跟實物沒落差，也吃得飽。最不推的是改賣炸物的「慶記滷」，洋蔥圈訂價100偏高可接受，但圖片真的僅供參考，實際上一份六個要價100。也沒蕃茄醬...超讓人失望。2023年7月20日
121,1,門票200換茶樹精油，5分鐘就逛完了，茶葉茶一杯119$有點浪費錢，而且指揮交通服務員態度十萬分不好，像我欠他錢一樣，有位子不給停跟我說去最下面，然後還問我說:要不然給妳指揮?
122,1,標示不清，路況極差，動線規劃爆爛，在附近繞了半小時找不到自行車道入口。處處施工，幾乎無替代道路標示，對外地遊客或初到此地者非常不友善，如果覺得把人行道鋪上柏油就可以叫自行車道（還斷斷續續不連貫），那設計者簡直低能，台東關山的環鎮自行車道20年前的設計就比這裡好一萬倍?
123,1,台北往南下到秀才步道千萬不要導航這個點，因為谷歌會帶你翻越14%以上的抖坡到這邊，無法倒車與會車的！
124,1,"入場費大人每人200，還說會送飼料，但送的飼料竟是矮榕樹的葉子，梅花鹿根本不吃!你收200還不能抵餐飲，真的太貴了吧，看到其他遊客也罵聲連連，往山上的路又難走也不先說，老人家無法上去，結果大夥花1000,不到20分鍾就離開了，太不推了!"
125,1,去隔宿露營覺得蚊子過多，設施也很舊，整潔不差但是睡覺時有狗一直叫很吵。餐點都沒什麼選擇，商店也沒啥東西，那些照片應該是很久以前的因為照片跟實際相差太多，洗澡的蓮蓬頭水分岔，很難洗!
126,1,遊客不少，但員工太少，感覺很血汗！餐廳有低消且不好吃，偏貴！要等很久，上山消暑一下結果悶爆！
127,1,這個自行車道很恐怖，一堆汽車卡車貨車機車進出，根本沒法安心騎，騎幾下後就有一台車過來，還是去別的的地方騎吧
128,1,這地方不用來，浪費時間，什麼都沒有的地方，沒廠商進駐~沒得逛沒得吃，進去一分鐘就可以換下一個地方
129,1,原本是我最愛的地方，最後被亂開發亂佈置，太令人失望。把自然生態破壞成這樣，還在門口設收費站一人$150
130,1,到底是哪個腦袋有問題的人吧夜市動線改成這樣！前面人塞爆！後面沒什麼人！
131,1,想找Carpenters，google出來卻是這個，真噁心。
132,1,老闆態度極差、出餐速度超級無敵霹靂慢也不好吃！廁所裡面只有一盞小燈非常昏暗，門沒辦法鎖、馬桶嚴重漏水都沒人管理，以後不會再來了！
133,1,這篇評論是要給3樓的一間白雪公主串串珠 只是問一下價格是怎麼算的 指了三個吊墜說多少錢我們就說為什麼是這個價錢 然而商家的回覆是啊我鏈子不用算嗎？ 這個口氣大家自行帶入 應該是沒有必要到那麼差 如果說真的不想解答客人問題或是不想服務客人 那真的不用在這兒童新樂園擺攤了
134,1,今日（3/20）前往詢問藝術家駐村事宜，ㄧ位女士前來回應，態度消極不耐，讓人非常不舒服。請改善服務態度。我將繼續向新北市文化局和市長辦公室反應。
135,1,2023 2/28 中午12點中科公園由往都會公園方向，我的騎在路上的自行車被後方電動車追撞，明顯肇事電動車車主不道歉，竟然罵髒話逃逸，電動車入侵自行車道已屬違規，肇事逃逸更是可惡，請有關單位處理這些侵入自行車的電動車，也請各位車友注意
136,1,半年前內用過覺得很美味，但這次因客滿外帶，湯麵不但沒分開整個泡爛，牛肉塊又乾又柴…整個很失望難過!!!
137,1,雜草叢生、路超小，沿路都是墳墓，有點可怕看不到油庫的美景，非常荒涼
138,1,指標不夠明確.未栓起來的狗兒不友善.影響前往的遊客.敗興而歸..
139,1,外帶的丼飯生魚片切超薄...從沒吃過那麼薄的真的有被嚇到 …
140,1,我點了明太子奶油干貝義大利麵，結果裡面只有兩顆干貝和一點點蔬菜，這樣一份賣三百多塊，簡直是笑死人了！請問這是黑店嗎？！
141,1,你們真的好討人厭!規定一大堆又一直改非常糟糕!大直倒了害我還要到汐止，服務超差!規定根本說不清楚，沒有一個人說的是一樣的，我再也不會到你們的樂園消費，經驗非常差!!!
142,1,有無障礙車位 卻不能停 門口管理的人還抽煙 實在有夠爛 非常爛！
143,1,大年初五去，就一個販賣部、什麼都沒有！看到其他人的評論，難道我活在平行時空，去的是不同地方？
144,1,印度佛教沒有咕嚕咕列佛母，這是喇嘛教自創的，何況拜樹等於拜鬼，這邊根本沒有正神，真正的情人或求姻緣，應該要拜月老，它不叫咕嚕咕列廟或直接用喇嘛教的名稱，故意用情人廟的名稱來騙人，臺灣人不要被騙了，這裡是其實喇嘛教據點。
145,1,完全沒在維護，感覺已經荒廢，為了想爬義確山，結果半途被農場放出的瘋狗好幾隻追出狂吠，這樣要人怎麼上義確山和二確山？
146,1,其實蠻無聊的，簡言之，我寧願去高美濕地走走。1.抓螃蟹也利用自然海岸線，走10分鐘路程去岩石縫隙抓螃蟹，但抓不到什麼螃蟹2.收費很貴，給的東西卻廉價得可憐3.午餐提供的菜色，令人灰心4.說好的葵花種子也分配的讓人心寒...
147,1,沒什麼可看的。設計和維護不當，周圍有自卸卡車和巨大的醜陋建築物！
148,1,大熱天走一圈出來，全身濕透也不裝空調，免錢的就是如此品質爛!
149,1,垃圾桶的垃圾有時很滿沒人清理，導致垃圾滿出來，事後才有人清理，我覺得這樣非常不OK。
150,1,今天去店家用餐時，坐到一半竟有蜈蚣爬進褲管裡，而被咬，我們是坐在室內，雖然店家有拿藥給我擦，但處理方式只是叫我注意傷口，他們還回說：「這個時期我們店內蜈蚣很多」，餐點都沒吃完也沒問說要不要打包，這樣的處理方式讓我覺得不妥當，也沒有道歉，毫無歉意。
151,1,不拿香拜，不捐香油錢，工作人員就說不准進去參觀，還好廟也不怎樣，像工寮，直接離開。題外話：工作人員長得像開心鬼電影裡面的訓導主任
152,1,因不知道是預約制，後來馬上打電話預約，但電話裡面的人員態度非常不友善，讓人感覺不想給參觀，感官非常的差
153,1,所有景都很爛，付那么多錢去拍婚沙照，結果背景都是破爛的，好歹翻新一下
154,1,這裡應該不能算觀光景點吧，門外完全沒人招呼，在門口一度不敢進去，實際上進去了，只有一樓部分小小區域拍照玩玩，二樓上去馬上就是賣場跟手作地方也沒人招呼，除非要參加付費活動，不然是10分鐘景點…
155,1,裡面髒亂不堪，被市政府遺忘的角落，環境跟十八尖山比簡直是天堂跟地獄，實在太可惜。
156,1,只要到假日整天放音樂或者唱歌，很吵很擾民!難得休假還不讓人好好休息，在臉書上投訴直接被封鎖，電話投訴兩三次後也打不通 可能也被封鎖了，可以不要為了你們自己營業打擾到周遭住戶嗎？
157,1,服務態度超級差!不知道是在跩幾點，完全沒說停車要50元，問一下而已有必要態度那麼差嗎?
158,1,帶家人來到龜吼漁港遊玩，螃蟹公園的停車場及下方海岸周邊遍佈垃圾，還以為自己到了第三世界國家，小孩們覺得怎麼這麼多人沒公德心，真的很不ok。
159,1,真的爛透了...進來被收200元清潔費，就幾個裝置藝術，泡足湯的地方還沒水，絕不推薦!
160,1,不舒服的體驗才剛剛踏上廟口，三 四個廟方人員在門口喊沒參拜不可入內（參拜要投香油錢，廟方人員在旁確認你樂捐），從沒在任何廟宇有如此不愉快感受，參拜後快速離開!
161,1,打掉台南人充滿舊回憶的中國城，然後搞出一個匪夷所思的垃圾景點，有夠低能的的垃圾景點!
162,1,爛公園 只讓幼稚園年紀的玩 一堆超重的大人上去 高中生不能玩 還會被拍 警衛完全不會請那些過重的家長們離開器材 不盡職 只針對青少年
163,1,今天帶家人去月世界走走，沒在當地土雞城吃飯(很後悔)，特地到網路很紅的308高地吃土雞，土雞部分，點了一鍋雞湯(半雞)和三杯雞(半雞)，雞肉幾乎都是雞胸肉，很誇張，難吃！不會再去消費！
164,1,餐點難吃就算了，餐點紙盒邊飾還不能拿，服務人員說要再回收利用，真是不衛生。
165,1,步道全長1.5，走到一半就封起來！根本看不到主瀑布，如果不攀牆就不要來了，浪費時間。
166,1,以為會有很棒的體驗，但是後來參觀後發現票價跟停車真的爆貴不值呀!影片解析度模糊。導覽語音聽不清楚。都是標本沒有真魚(除了美人魚真人秀 )，還有小水族箱的小魚完全失望。雖然有些含科學教育的東西，但跟其他各國的比起來 真不那麼先進和有震撼感反正不值得
167,1,花二千餘萬的步道改善工程，真的完全感受不到這個錢，花下去的價值在哪兒，真的很糟糕的台南市政府官員們，這樣的步道品質還敢大張旗鼓的舉辦完工儀式.......
168,1,真的是超級危險的溜滑梯，正常使用下小朋友溜下來，溜滑梯角度設計超級不良，一溜就擦傷破皮流血，完全不會想再來第二次的公園 …
169,1,新翻修後的兒童遊戲區容易產生靜電，逗留半小時被電了5次，還聽到其他小朋友被電了10幾次，在夏天的現在已經這麼誇張，到了冬天可能更可怕 …
170,1,無聊的地方，感覺上政府又一個蚊子館，店家都倒了，完全沒人氣
171,1,這裡是一座xx，逛不到五分鐘就結束了，進去還要花錢，超不值得
172,1,態度很不好蚵仔不新鮮又超級小顆態度真的很不好每個人員態度都非常爛千萬不要去坐龍海號
